*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Nixie_Main_PCB V13
*Date=10:32:46
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;DIP16 [THT];92.0456;-12.7576;-90;Bottom;U2
2;;;12.6323;-5.04268;0;Bottom;IMG1
3;;2x5-ra;110.648;-8.4475;0;Bottom;JP1
4;360k;THT;30.8158;-12.0274;90;Bottom;R14
5;;;19.3158;-21.4476;0;Bottom;Via34
6;;;95.8048;-12.9414;0;Bottom;Via50
7;;;113.797;-8.40773;-90;Bottom;TXT2
8;100nF;100 mil [THT, multilayer];80.0156;-27.673;-90;Bottom;C7
9;;;44.8157;-13.4477;0;Bottom;Via30
10;;;97.3104;-5.45346;0;Bottom;Via47
11;;;93.3158;-4.44762;0;Bottom;Via27
12;100nF;100 mil [THT, multilayer];78.0457;-8.74746;180;Bottom;C6
13;;DIP16 [THT];36.5057;-28.7175;180;Bottom;U1
14;;;113.813;-31.4086;-90;Bottom;TXT2
15;100nF;100 mil [THT, multilayer];75.3158;-18.1728;-90;Bottom;C5
16;;;56.3285;-9.76662;0;Bottom;TXT6
17;;;105.016;-33.5476;0;Bottom;Via13
18;10k;THT;52.7358;-23.4476;0;Bottom;R10
19;;;95.3248;-20.2023;0;Bottom;TXT3
20;;;105.016;-28.1475;0;Bottom;Via40
21;;;97.3104;-1.93979;0;Bottom;Via48
22;100nF;100 mil [THT, multilayer];13.0409;-18.4477;0;Bottom;C3
23;;;48.239;-7.74449;0;Bottom;TXT9
24;1k;THT;53.2359;-34.9476;180;Bottom;R6
25;;THT;52.3158;-11.2175;0;Bottom;J2
26;15k;THT;33.3158;-12.0274;90;Bottom;R13
27;1k;THT;53.2359;-37.4475;180;Bottom;R1
28;;2x5-ra;110.648;-31.4475;0;Bottom;JP2
29;;;75.9623;-1.06288;0;Bottom;TXT6
30;;THT;76.0456;-2.94751;-90;Bottom;J6
31;1k;THT;53.2359;-29.4476;180;Bottom;R8
32;;;100.834;-34.9764;0;Bottom;Via43
33;100µH;400 mil [THT];52.7358;-20.4475;180;Bottom;L2
34;;;10.0535;-5.59239;0;Bottom;IMG1
35;;;69.8158;-18.1475;0;Bottom;Via17
36;360k;THT;6.81567;-6.5275;90;Bottom;R4
37;;;78.3157;-15.4475;0;Bottom;Via20
38;;;83.2972;-5.45346;0;Bottom;Via46
39;;;42.8158;-32.4475;0;Bottom;Via38
40;2.2k;THT;21.3157;-22.3277;90;Bottom;R2
41;;;51.2379;-0.887058;0;Bottom;TXT5
42;;;68.3157;-20.4476;0;Bottom;Via3
43;10k;THT;42.8157;-11.8677;90;Bottom;R3
44;;THT;76.3149;-28.902;90;Bottom;XTAL1
45;;;24.3156;-21.4476;0;Bottom;Via33
46;;THT;34.5858;-2.94751;90;Bottom;J1
47;;;105.016;-22.9476;0;Bottom;Via42
48;;;52.391;-7.90028;0;Bottom;TXT8
49;;;73.9156;-20.8476;0;Bottom;Via23
50;;THT;51.0458;-2.94751;-90;Bottom;I2C
51;;;50.8157;-16.9475;0;Bottom;Via9
52;15k;THT;35.8157;-12.0274;90;Bottom;R12
53;;300 mil [THT];8.81578;-15.363;-90;Bottom;D2
54;;;90.8156;-21.9477;0;Bottom;Via45
55;15k;THT;38.3156;-12.0274;90;Bottom;R11
56;;;44.8157;-16.4477;0;Bottom;Via29
57;;;88.3157;-19.9475;0;Bottom;Via21
58;100nF;100 mil [THT, multilayer];59.5904;-17.9476;180;Bottom;C4
59;;;105.016;-24.5475;0;Bottom;Via39
60;;;80.3158;-1.9477;0;Bottom;Hole4
61;;;42.8156;-13.4477;0;Bottom;Via31
62;;;100.816;-27.9477;0;Bottom;Via11
63;;;105.3;-8.96741;0;Bottom;Via52
64;;;27.3156;-1.9477;0;Bottom;Hole1
65;1k;THT;53.2359;-31.9475;180;Bottom;R7
66;;;0.775829;-34.4475;0;Bottom;JACK1
67;;;69.8158;-36.4477;0;Bottom;Via16
68;;;76.8157;-11.9477;0;Bottom;Via8
69;100nF;100 mil [THT, multilayer];19.3159;-31.2222;90;Bottom;C2
70;;;34.2021;-0.731271;0;Bottom;TXT4
71;4.7µF;100 mil [THT, electrolytic];13.0457;-31.4474;0;Bottom;C1
72;;;105.3;-15.4512;0;Bottom;Via51
73;;300 mil [THT];14.6002;-37.9476;180;Bottom;D1
74;;THT;-2.00896;-6.89778;180;Bottom;R5
75;;DIP16 [THT];92.0456;-28.7576;-90;Bottom;U3
76;;dil28-3-simon-kit;68.0384;-19.3377;-90;Bottom;IC1
77;;;28.8156;-37.4476;0;Bottom;Hole3
78;;;58.4987;-5.64448;0;Bottom;TXT8
79;;;27.8157;-24.9477;0;Bottom;Via32
80;;;58.539;-11.401;0;Bottom;Via54
81;;to220v;13.8159;-24.6349;180;Bottom;Q1
